2025-08-20 19:18:38,279 | INFO | 打开登录页
2025-08-20 19:18:44,310 | INFO | 尝试登录：user='tomsmith'
2025-08-20 19:18:44,452 | INFO | 等待成功提示 & URL 进入 /secure
2025-08-20 19:18:50,590 | INFO | 打开登录页
2025-08-20 19:18:58,014 | INFO | 尝试登录：user='tomsmith'
2025-08-20 19:19:04,720 | INFO | 打开登录页
2025-08-20 19:19:10,557 | INFO | 尝试登录：user=''
2025-08-20 19:19:16,797 | INFO | 打开登录页
2025-08-20 19:19:22,633 | INFO | 尝试登录：user='tomsmith'
2025-08-20 19:19:28,889 | INFO | 打开 Bing 首页
2025-08-20 19:19:36,225 | INFO | 搜索：'Python Selenium beginner'
2025-08-20 19:32:52,036 | INFO | 打开登录页
2025-08-20 19:32:59,491 | INFO | 尝试登录：user='tomsmith'
2025-08-20 19:33:00,453 | INFO | 等待成功提示 & URL 进入 /secure
2025-08-20 19:33:06,144 | INFO | 打开登录页
2025-08-20 19:33:11,591 | INFO | 尝试登录：user='tomsmith'
2025-08-20 19:33:20,474 | INFO | 打开登录页
2025-08-20 19:33:25,969 | INFO | 尝试登录：user=''
2025-08-20 19:33:32,580 | INFO | 打开登录页
2025-08-20 19:33:39,948 | INFO | 尝试登录：user='tomsmith'
2025-08-20 19:33:46,597 | INFO | 打开 Bing 首页
2025-08-20 19:33:52,643 | INFO | 搜索：'Python Selenium beginner'
2025-08-21 22:16:40,586 | INFO | 打开登录页
2025-08-21 22:16:55,198 | INFO | 尝试登录：user='tomsmith'
2025-08-21 22:16:55,357 | INFO | 等待成功提示 & URL 进入 /secure
2025-08-21 22:17:01,299 | INFO | 打开登录页
2025-08-21 22:17:19,192 | INFO | 尝试登录：user='tomsmith'
2025-08-21 22:17:26,682 | INFO | 打开登录页
2025-08-21 22:17:48,383 | INFO | 尝试登录：user=''
2025-08-21 22:17:54,393 | INFO | 打开登录页
2025-08-21 22:18:03,514 | INFO | 尝试登录：user='tomsmith'
2025-08-21 22:18:10,138 | INFO | 打开 SauceDemo 登录页
2025-08-21 22:18:14,352 | INFO | 登录：'standard_user'
2025-08-21 22:18:14,510 | INFO | 把第一个商品加入购物车
2025-08-21 22:18:21,040 | INFO | 打开 Bing 首页
2025-08-21 22:18:27,595 | INFO | 搜索：'Python Selenium beginner'
2025-08-21 22:35:37,770 | INFO | 打开登录页
2025-08-21 22:35:52,777 | INFO | 尝试登录：user='tomsmith'
2025-08-21 22:35:54,661 | INFO | 等待成功提示 & URL 进入 /secure
2025-08-21 22:35:59,827 | INFO | 打开登录页
2025-08-21 22:36:08,751 | INFO | 尝试登录：user='tomsmith'
2025-08-21 22:36:15,335 | INFO | 打开登录页
2025-08-21 22:36:33,249 | INFO | 尝试登录：user=''
2025-08-21 22:36:39,331 | INFO | 打开登录页
2025-08-21 22:36:49,012 | INFO | 尝试登录：user='tomsmith'
2025-08-21 22:36:55,012 | INFO | 打开 SauceDemo 登录页
2025-08-21 22:36:59,103 | INFO | 登录：'standard_user'
2025-08-21 22:36:59,259 | INFO | 把第一个商品加入购物车
2025-08-21 22:37:04,396 | INFO | 打开 Bing 首页
2025-08-21 22:37:09,944 | INFO | 搜索：'Python Selenium beginner'
